"Tenant","TenantId","AlertId","AlertName","Description","Entity","Severity","DetectedTime"
"spectracypress","1360139674553264893","MTM2MDEzOTY3NDU1MzI2NDg5MywxMzgyOTc4MjY4NzM0MDA3MzA2","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.312Z"
"spectraportland","1370291002174581501","MTM3MDI5MTAwMjE3NDU4MTUwMSwxMzcwMjkxMTQxOTU0MTUyNjQ3","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:54.150Z"
"habitat","1119167462488845053","MTExOTE2NzQ2MjQ4ODk0MzM1NywxMjA1NDIxNTMzMTgwNDcxNzEz","Auvik Collector Disconnected","The Auvik collector at 10.100.150.2 has been disconnected from the cloud for longer than the defined threshold","","critical","2025-02-28T21:06:00.000Z"
"habitathq","1119167462488943357","MTExOTE2NzQ2MjQ4ODk0MzM1NywxMjA1NDIxNTMzMTgwNDcxNzEz","Auvik Collector Disconnected","The Auvik collector at 10.100.150.2 has been disconnected from the cloud for longer than the defined threshold","","critical","2025-02-28T21:06:00.000Z"
"prospectrasandiego","1360139674553395965","MTM2MDEzOTY3NDU1MzM5NTk2NSwxMzgyOTc4MTM4MTEzMDkyMzk1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.835Z"
"gwcbeer","1093789160040999677","MTA5ODg3ODA0NTc5MDQxNTYxMywxMzgyOTc4MTU0NjM2MzU2NDY5","Auvik Collector Discovery","New Auvik collector (0ba0d5be-272f-40a9-bfce-7bdf3a7a41a3) at 10.1.8.11 detected","","warning","2026-06-28T00:51:59.873Z"
"continentalfloors","1370291002174515965","MTM3MDI5MTAwMjE3NDUxNTk2NSwxMzcwMjkxMTQxOTU0MTE5ODc5","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:53.815Z"
"servitmonitoring","1085287464836934397","MTExOTE2NzQ2MjQ4ODk0MzM1NywxMjA1NDIxNTMzMTgwNDcxNzEz","Auvik Collector Disconnected","The Auvik collector at 10.100.150.2 has been disconnected from the cloud for longer than the defined threshold","","critical","2025-02-28T21:06:00.000Z"
"spectratukwila","1370291002175007485","MTM3MDI5MTAwMjE3NTAwNzQ4NSwxMzcwMjkxMTQxOTU0MjgzNzE5","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:58.220Z"
"prospectrasacramento","1360139674553330429","MTM2MDEzOTY3NDU1MzMzMDQyOSwxMzgyOTc4MjY2NTkwNjIwMjUy","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.251Z"
"pavilionwoburn","1360139674553953021","MTM2MDEzOTY3NDU1Mzk1MzAyMSwxMzgyOTc4MTUzNzE2Nzg3ODE3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.532Z"
"prospectralasvegas","1370291002170977021","MTM3MDI5MTAwMjE3MDk3NzAyMSwxMzcwMjkxMTQxOTU0NTQ1ODYz","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:53.741Z"
"flooringsolutionsindiantrail","1370291002170813181","MTM3MDI5MTAwMjE3MDgxMzE4MSwxMzcwMjkxMTQxOTU0MDg3MTEx","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:54.201Z"
"gwcsc","1098878045790415613","MTA5ODg3ODA0NTc5MDQxNTYxMywxMzgyOTc4MTU0NjM2MzU2NDY5","Auvik Collector Discovery","New Auvik collector (0ba0d5be-272f-40a9-bfce-7bdf3a7a41a3) at 10.1.8.11 detected","","warning","2026-06-28T00:51:59.873Z"
"spectratempe","1360139674551134973","MTM2MDEzOTY3NDU1MTEzNDk3MywxMzgyOTc4MTUzNzMxNTMzMjYx","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.232Z"
"spectrakennesaw","1360139674553690877","MTM2MDEzOTY3NDU1MzY5MDg3NywxMzgyOTc4MjY5Njg4NjA1NDYz","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.770Z"
"diverzifyproindianapolis","1360139674553887485","MTM2MDEzOTY3NDU1Mzg4NzQ4NSwxMzgyOTc4MTU5MTU0MDE0NDkw","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.123Z"
"apexfarmersbranch","1370291002174876413","MTM3MDI5MTAwMjE3NDg3NjQxMywxMzcwMjkxMTQxOTUzOTg4ODA3","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:54.338Z"
"azureusnorthcentral","1370291002175204093","MTM3MDI5MTAwMjE3NTIwNDA5MywxMzcwMjkxMTQxOTU0MDIxNTc1","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:54.151Z"
"azureusnorthcentral","1370291002175204093","MTM3MDI5MTAwMjE3NTIwNDA5MywxMzcwMjkxMTQxOTY3Nzg0MTM1","Auvik Collector Discovery","New Auvik collector (85822d2b-a652-46ba-858f-202dc697ef0c) at (unknown ip address) detected","","warning","2026-06-11T22:58:52.577Z"
"spectrasanantonio","1370291002175171325","MTM3MDI5MTAwMjE3NTE3MTMyNSwxMzcwMjkxMTQxOTU0MzgyMDIz","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:58.330Z"
"diverzifypronashville","1370291002174745341","MTM3MDI5MTAwMjE3NDc0NTM0MSwxMzcwMjkxMTQxOTU0NTc4NjMx","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:57.913Z"
"diverzifypronashville","1370291002174745341","MTM3MDI5MTAwMjE3NDc0NTM0MSwxMzcwMjkxMTQxOTY3MzU4MTUx","Auvik Collector Discovery","New Auvik collector (5019d77c-5fb1-42fe-b31a-472967311d0d) at (unknown ip address) detected","","warning","2026-06-11T22:58:52.288Z"
"diverzify","1327174886223424253","MTMyNzE3NDg4NjIyMzQyNDI1MywxMzcwMjkxMTQxOTU0ODQwNzc1","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:54.797Z"
"diverzify","1327174886223424253","MTMyNzE3NDg4NjIyMzQyNDI1MywxMzgyOTc4MTUyNDMwNDE0MTQ3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.549Z"
"diverzify","1327174886223424253","MTMyNzE3NDg4NjIyMzQ1NzAyMSwxMzgyOTc4MTUyNDMwNDQ2OTE1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.720Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDUyNTcwNzAwNSwxMzgyOTc4MjU3ODg2MzU4NDE1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.853Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MTAwMzkwMSwxMzgyOTc4MjU3ODg2NDIzOTUx","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.980Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MTAzNjY2OSwxMzgyOTc4MjY2MTM4MzU1ODA0","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.041Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MTA2OTQzNywxMzgyOTc4MTQ4OTM5MTgxMDIw","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.675Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MTEwMjIwNSwxMzcwMjkxMTQwNzkxMTE4MDIz","Auvik Collector Discovery","New Auvik collector (09216a02-4da7-463e-bd3c-abf63ffe9e30) at (unknown ip address) detected","","warning","2026-05-14T13:25:22.055Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MTEwMjIwNSwxMzgyOTc4MTQ5MTEwMTY0MjAz","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.806Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MTEzNDk3MywxMzgyOTc4MTUzNzMxNTMzMjYx","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.232Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MTE2Nzc0MSwxMzgyOTc4MTQ5MTEwMTMxNDM1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.387Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzI2NDg5MywxMzgyOTc4MjY4NzM0MDA3MzA2","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.312Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzI5NzY2MSwxMzgyOTc4MTYxNzM0OTIwMTk0","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.364Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzMzMDQyOSwxMzgyOTc4MjY2NTkwNjIwMjUy","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.251Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzM2MzE5NywxMzgyOTc4MTM2MDc0NTI5MzU0","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.733Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzM5NTk2NSwxMzgyOTc4MTM4MTEzMDkyMzk1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.835Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzQyODczMywxMzgyOTc4MTUyNDMwNTQ1MjE5","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.579Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzQ2MTUwMSwxMzgyOTc4MTQzNDgzOTY0MTc3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.358Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzQ5NDI2OSwxMzgyOTc4MTM2MDc0NDMxMDUw","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.153Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzUyNzAzNywxMzgyOTc4MTU5ODQ3OTEwMjQ5","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.778Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzU1OTgwNSwxMzgyOTc4MTQ1MDkzMTM0ODkw","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.823Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzU5MjU3MywxMzgyOTc4MTUyOTMzMzA1MTYy","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.978Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzYyNTM0MSwxMzgyOTc4MTQ4OTM5MTQ4MjUy","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.548Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzY1ODEwOSwxMzgyOTc4MTQxMDY2MzA3OTk3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.340Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzY5MDg3NywxMzgyOTc4MjY5Njg4NjA1NDYz","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.770Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzcyMzY0NSwxMzgyOTc4MTU0MzAwMDI0OTc3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.978Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1Mzc4OTE4MSwxMzgyOTc4MTM2MDc0NDk2NTg2","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:23.249Z"
"diverzify","1327174886223424253","MTM2MDEzOTY3NDU1MzgyMTk0OSwxMzgyOTc4MTM4MTEzMTI1MTYz","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.982Z"
